% Model:              Xsource_ver8.mph
% Version:            COMSOL 4.3.2.189
% Date:               Jan 19 2015, 15:04
% Dimension:          1
% Nodes:              1000
% Expressions:        1
% Description:        Line graph
% E                       Height
5.36036036036036E9        1.9830031070075784E-5
5.3693693693693695E9      2.030701987976675E-5
5.378378378378378E9       2.079394314503578E-5
5.387387387387387E9       2.1290973846278267E-5
5.396396396396397E9       2.1798287333867498E-5
5.405405405405405E9       2.2316061350554585E-5
5.414414414414414E9       2.284447605395595E-5
5.423423423423424E9       2.3383714039126037E-5
5.432432432432432E9       2.3933960361216484E-5
5.441441441441442E9       2.4495402558219606E-5
5.450450450450451E9       2.5068230673795225E-5
5.459459459459459E9       2.5652637280181006E-5
5.468468468468469E9       2.624881750118472E-5
5.477477477477477E9       2.6856969035257078E-5
5.486486486486486E9       2.7477292178646137E-5
5.495495495495496E9       2.8109989848629615E-5
5.504504504504504E9       2.8755267606827016E-5
5.513513513513514E9       2.9413333682588818E-5
5.522522522522523E9       3.008439899646277E-5
5.531531531531531E9       3.0768677183735005E-5
5.540540540540541E9       3.146638461804839E-5
5.549549549549549E9       3.2177740435091814E-5
5.558558558558558E9       3.2902966556365934E-5
5.567567567567568E9       3.364228771301802E-5
5.576576576576576E9       3.439593146975029E-5
5.585585585585586E9       3.516412824879799E-5
5.594594594594595E9       3.594711135397621E-5
5.603603603603603E9       3.674511699479583E-5
5.612612612612613E9       3.755838431064736E-5
5.621621621621622E9       3.838715539505013E-5
5.6306306306306305E9      3.923167531996815E-5
5.63963963963964E9        4.0092192160190465E-5
5.648648648648648E9       4.096895701777456E-5
5.657657657657658E9       4.1862224046553764E-5
5.666666666666667E9       4.277225047670461E-5
5.675675675675675E9       4.3699296639376646E-5
5.684684684684685E9       4.464362599138152E-5
5.693693693693694E9       4.560550513994018E-5
5.7027027027027025E9      4.658520386748875E-5
5.711711711711712E9       4.758299515654148E-5
5.72072072072072E9        4.859915521460805E-5
5.72972972972973E9        4.963396349916791E-5
5.738738738738739E9       5.068770274269643E-5
5.747747747747747E9       5.176065897774513E-5
5.756756756756757E9       5.285312156207375E-5
5.765765765765766E9       5.3965383203832465E-5
5.774774774774775E9       5.5097739986794244E-5
5.783783783783784E9       5.625049139563689E-5
5.792792792792792E9       5.742394034127157E-5
5.801801801801802E9       5.861839318621881E-5
5.810810810810811E9       5.983415977003041E-5
5.819819819819819E9       6.107155343475572E-5
5.828828828828829E9       6.233089105045238E-5
5.837837837837838E9       6.361249304073866E-5
5.846846846846847E9       6.491668340838839E-5
5.855855855855856E9       6.62437897609669E-5
5.864864864864865E9       6.759414333650489E-5
5.873873873873874E9       6.89680790292129E-5
5.882882882882883E9       7.036593541523283E-5
5.8918918918918915E9      7.178805477842395E-5
5.900900900900901E9       7.323478313618906E-5
5.90990990990991E9        7.470647026532934E-5
5.918918918918919E9       7.620346972793742E-5
5.927927927927928E9       7.77261388973211E-5
5.936936936936937E9       7.927483898395716E-5
5.945945945945946E9       8.084993506147778E-5
5.954954954954955E9       8.245179609268524E-5
5.9639639639639635E9      8.408079495559439E-5
5.972972972972973E9       8.57373084695038E-5
5.981981981981982E9       8.742171742109123E-5
5.990990990990991E9       8.913440659053566E-5
6.0E9                     9.0875764777664E-5
6.009009009009009E9       9.264618482811815E-5
6.018018018018018E9       9.444606365954745E-5
6.027027027027027E9       9.627580228782002E-5
6.0360360360360365E9      9.813580585325512E-5
6.045045045045045E9       1.0002648364687279E-4
6.054054054054054E9       1.0194824913666467E-4
6.063063063063063E9       1.0390151999387841E-4
6.072072072072072E9       1.058867181193195E-4
6.081081081081081E9       1.0790426966966728E-4
6.09009009009009E9        1.0995460508380576E-4
6.099099099099099E9       1.1203815910916658E-4
6.1081081081081085E9      1.141553708280829E-4
6.117117117117117E9       1.1630668368415547E-4
6.126126126126126E9       1.1849254550862744E-4
6.135135135135135E9       1.2071340854676785E-4
6.144144144144144E9       1.2296972948426396E-4
6.153153153153153E9       1.252619694736174E-4
6.162162162162162E9       1.2759059416054866E-4
6.171171171171171E9       1.2995607371040643E-4
6.180180180180181E9       1.3235888283457642E-4
6.189189189189189E9       1.347995008168977E-4
6.198198198198198E9       1.372784115400784E-4
6.207207207207208E9       1.397961035121103E-4
6.216216216216216E9       1.423530698926857E-4
6.225225225225225E9       1.4494980851961173E-4
6.234234234234234E9       1.475868219352216E-4
6.243243243243243E9       1.502646174127827E-4
6.252252252252253E9       1.5298370698290045E-4
6.261261261261261E9       1.5574460745991598E-4
6.27027027027027E9        1.5854784046829954E-4
6.27927927927928E9        1.6139393246903218E-4
6.288288288288288E9       1.6428341478598235E-4
6.2972972972972975E9      1.6721682363227315E-4
6.306306306306306E9       1.7019470013663685E-4
6.315315315315315E9       1.7321759036975984E-4
6.324324324324325E9       1.762860453706136E-4
6.333333333333333E9       1.7940062117277408E-4
6.342342342342342E9       1.8256187883072597E-4
6.351351351351352E9       1.8577038444615103E-4
6.36036036036036E9        1.8902670919419977E-4
6.3693693693693695E9      1.923314293497488E-4
6.378378378378378E9       1.9568512631363573E-4
6.387387387387387E9       1.9908838663887897E-4
6.396396396396397E9       2.0254180205687348E-4
6.405405405405405E9       2.0604596950356827E-4
6.414414414414414E9       2.096014911456227E-4
6.423423423423424E9       2.132089744065347E-4
6.432432432432432E9       2.1686903199275088E-4
6.441441441441442E9       2.2058228191975022E-4
6.450450450450451E9       2.2434934753809866E-4
6.459459459459459E9       2.281708575594814E-4
6.468468468468469E9       2.3204744608270626E-4
6.477477477477477E9       2.3597975261967542E-4
6.486486486486486E9       2.399684221213339E-4
6.495495495495496E9       2.440141050035801E-4
6.504504504504504E9       2.4811745717315237E-4
6.513513513513514E9       2.522791400534791E-4
6.522522522522523E9       2.564998206104963E-4
6.531531531531531E9       2.607801713784311E-4
